iteration,Q,E,C_sup,Sum_t_m
0,376.6666666666667,5.127361111111111,340.75000000000006,304.8333333333335
1,337.08333333333337,5.411041666666666,301.1666666666667,265.25
2,300.0,5.676805555555555,264.08333333333337,228.16666666666674
3,300.0,5.628472222222222,235.08333333333334,170.16666666666669
4,297.9166666666667,5.643402777777777,233.0,168.08333333333331
5,300.08333333333337,5.641597222222222,233.0,165.91666666666663
6,297.9166666666667,5.643402777777777,233.0,168.08333333333331
7,303.58333333333337,5.638680555555555,233.0,162.41666666666663
8,297.9166666666667,5.643402777777777,233.0,168.08333333333331
9,281.6666666666667,5.786944444444443,233.0,184.33333333333331
10,283.83333333333337,5.785138888888888,233.0,182.16666666666663
